group,condition,pronoun,name,pet,job,introduction,memory_pronoun,memory_pet,memory_job,production
both_3,both,they/them,Emily,fish,Uber driver,Emily uses they/them pronouns.<br> Emily works as an Uber driver and has a fish.,What pronouns does Emily use?,What kind of pet does Emily have?,What is Emily's job?,After Emily got home from working as an Uber driver…
both_3,both,they/them,Andrew,cat,food service,Andrew uses they/them pronouns.<br> Andrew works in food service and has a cat.,What pronouns does Andrew use?,What kind of pet does Andrew have?,What is Andrew's job?,After Andrew got home from working in food service…
both_3,both,they/them,Brian,dog,mechanic,Brian uses they/them pronouns.<br> Brian works as a mechanic and has a dog.,What pronouns does Brian use?,What kind of pet does Brian have?,What is Brian's job?,After Brian got home from working as a mechanic…
neither_1,neither,she/her,Amanda,cat,engineer,Amanda uses she/her pronouns.<br> Amanda works as an engineer and has a cat.,What pronouns does Amanda use?,What kind of pet does Amanda have?,What is Amanda's job?,After Amanda got home from working as an engineer…
neither_1,neither,she/her,Emily,dog,Uber driver,Emily uses she/her pronouns.<br> Emily works as an Uber driver and has a dog.,What pronouns does Emily use?,What kind of pet does Emily have?,What is Emily's job?,After Emily got home from working as an Uber driver…
neither_1,neither,she/her,Jessica,fish,food service,Jessica uses she/her pronouns.<br> Jessica works in food service and has a fish.,What pronouns does Jessica use?,What kind of pet does Jessica have?,What is Jessica's job?,After Jessica got home from working in food service…
neither_1,neither,she/her,Laura,cat,mechanic,Laura uses she/her pronouns.<br> Laura works as a mechanic and has a cat.,What pronouns does Laura use?,What kind of pet does Laura have?,What is Laura's job?,After Laura got home from working as a mechanic…
neither_1,neither,he/him,Andrew,dog,teacher,Andrew uses he/him pronouns.<br> Andrew works as a teacher and has a dog.,What pronouns does Andrew use?,What kind of pet does Andrew have?,What is Andrew's job?,After Andrew got home from working as a teacher…
neither_1,neither,he/him,Brian,fish,accountant,Brian uses he/him pronouns.<br> Brian works as an accountant and has a fish.,What pronouns does Brian use?,What kind of pet does Brian have?,What is Brian's job?,After Brian got home from working as an accountant…
neither_1,neither,he/him,Daniel,cat,retail,Daniel uses he/him pronouns.<br> Daniel works in retail and has a cat.,What pronouns does Daniel use?,What kind of pet does Daniel have?,What is Daniel's job?,After Daniel got home from working in retail…
neither_1,neither,he/him,James,dog,janitor,James uses he/him pronouns.<br> James works as a janitor and has a dog.,What pronouns does James use?,What kind of pet does James have?,What is James' job?,After James got home from working as a janitor…
neither_1,neither,they/them,Melissa,fish,IT,Melissa uses they/them pronouns.<br> Melissa works in IT and has a fish.,What pronouns does Melissa use?,What kind of pet does Melissa have?,What is Melissa's job?,After Melissa got home from working in IT…
neither_1,neither,they/them,Stephanie,cat,nurse,Stephanie uses they/them pronouns.<br> Stephanie works as a nurse and has a cat.,What pronouns does Stephanie use?,What kind of pet does Stephanie have?,What is Stephanie's job?,After Stephanie got home from working as a nurse…
neither_1,neither,they/them,Kevin,dog,doctor,Kevin uses they/them pronouns.<br> Kevin works as a doctor and has a dog.,What pronouns does Kevin use?,What kind of pet does Kevin have?,What is Kevin's job?,After Kevin got home from working as a doctor…
neither_1,neither,they/them,Michael,fish,salesperson,Michael uses they/them pronouns.<br> Michael works in sales and has a fish.,What pronouns does Michael use?,What kind of pet does Michael have?,What is Michael's job?,After Michael got home from working as a salesperson…
neither_2,neither,she/her,Amanda,dog,IT,Amanda uses she/her pronouns.<br> Amanda works in IT and has a dog.,What pronouns does Amanda use?,What kind of pet does Amanda have?,What is Amanda's job?,After Amanda got home from working in IT…
neither_2,neither,she/her,Emily,fish,nurse,Emily uses she/her pronouns.<br> Emily works as a nurse and has a fish.,What pronouns does Emily use?,What kind of pet does Emily have?,What is Emily's job?,After Emily got home from working as a nurse…
neither_2,neither,she/her,Melissa,cat,doctor,Melissa uses she/her pronouns.<br> Melissa works as a doctor and has a cat.,What pronouns does Melissa use?,What kind of pet does Melissa have?,What is Melissa's job?,After Melissa got home from working as a doctor…
neither_2,neither,she/her,Stephanie,dog,salesperson,Stephanie uses she/her pronouns.<br> Stephanie works in sales and has a dog.,What pronouns does Stephanie use?,What kind of pet does Stephanie have?,What is Stephanie's job?,After Stephanie got home from working as a salesperson…
neither_2,neither,he/him,Andrew,fish,engineer,Andrew uses he/him pronouns.<br> Andrew works as an engineer and has a fish.,What pronouns does Andrew use?,What kind of pet does Andrew have?,What is Andrew's job?,After Andrew got home from working as an engineer…
neither_2,neither,he/him,Brian,cat,Uber driver,Brian uses he/him pronouns.<br> Brian works as an Uber driver and has a cat.,What pronouns does Brian use?,What kind of pet does Brian have?,What is Brian's job?,After Brian got home from working as an Uber driver…
neither_2,neither,he/him,Kevin,dog,food service,Kevin uses he/him pronouns.<br> Kevin works in food service and has a dog.,What pronouns does Kevin use?,What kind of pet does Kevin have?,What is Kevin's job?,After Kevin got home from working in food service…
neither_2,neither,he/him,Michael,fish,mechanic,Michael uses he/him pronouns.<br> Michael works as a mechanic and has a fish.,What pronouns does Michael use?,What kind of pet does Michael have?,What is Michael's job?,After Michael got home from working as a mechanic…
neither_2,neither,they/them,Jessica,cat,teacher,Jessica uses they/them pronouns.<br> Jessica works as a teacher and has a cat.,What pronouns does Jessica use?,What kind of pet does Jessica have?,What is Jessica's job?,After Jessica got home from working as a teacher…
neither_2,neither,they/them,Laura,dog,accountant,Laura uses they/them pronouns.<br> Laura works as a accountant and has a dog.,What pronouns does Laura use?,What kind of pet does Laura have?,What is Laura's job?,After Laura got home from working as an accountant…
neither_2,neither,they/them,Daniel,fish,retail,Daniel uses they/them pronouns.<br> Daniel works in retail and has a fish.,What pronouns does Daniel use?,What kind of pet does Daniel have?,What is Daniel's job?,After Daniel got home from working in retail…
neither_2,neither,they/them,James,cat,janitor,James uses they/them pronouns.<br> James works as a janitor and has a cat.,What pronouns does James use?,What kind of pet does James have?,What is James' job?,After James got home from working as a janitor…
neither_3,neither,she/her,Jessica,fish,teacher,Jessica uses she/her pronouns.<br> Jessica works as a teacher and has a fish.,What pronouns does Jessica use?,What kind of pet does Jessica have?,What is Jessica's job?,After Jessica got home from working as a teacher…
neither_3,neither,she/her,Laura,cat,accountant,Laura uses she/her pronouns.<br> Laura works as an accountant and has a cat.,What pronouns does Laura use?,What kind of pet does Laura have?,What is Laura's job?,After Laura got home from working as an accountant…
neither_3,neither,she/her,Melissa,dog,retail,Melissa uses she/her pronouns.<br> Melissa works in retail and has a dog.,What pronouns does Melissa use?,What kind of pet does Melissa have?,What is Melissa's job?,After Melissa got home from working in retail…
neither_3,neither,she/her,Stephanie,fish,janitor,Stephanie uses she/her pronouns.<br> Stephanie works as a janitor and has a fish.,What pronouns does Stephanie use?,What kind of pet does Stephanie have?,What is Stephanie's job?,After Stephanie got home from working as a janitor…
neither_3,neither,he/him,Daniel,cat,IT,Daniel uses he/him pronouns.<br> Daniel works in IT and has a cat.,What pronouns does Daniel use?,What kind of pet does Daniel have?,What is Daniel's job?,After Daniel got home from working in  IT…
neither_3,neither,he/him,James,dog,nurse,James uses he/him pronouns.<br> James works as a nurse and has a dog.,What pronouns does James use?,What kind of pet does James have?,What is James' job?,After James got home from working as a nurse…
neither_3,neither,he/him,Kevin,fish,doctor,Kevin uses he/him pronouns.<br> Kevin works as a a doctor and has a fish.,What pronouns does Kevin use?,What kind of pet does Kevin have?,What is Kevin's job?,After Kevin got home from working as a doctor…
neither_3,neither,he/him,Michael,cat,salesperson,Michael uses he/him pronouns.<br> Michael works in sales and has a cat.,What pronouns does Michael use?,What kind of pet does Michael have?,What is Michael's job?,After Michael got home from working as a salesperson…
neither_3,neither,they/them,Amanda,dog,engineer,Amanda uses they/them pronouns.<br> Amanda works as an engineer and has a dog.,What pronouns does Amanda use?,What kind of pet does Amanda have?,What is Amanda's job?,After Amanda got home from working as an engineer…
neither_3,neither,they/them,Emily,fish,Uber driver,Emily uses they/them pronouns.<br> Emily works as an Uber driver and has a fish.,What pronouns does Emily use?,What kind of pet does Emily have?,What is Emily's job?,After Emily got home from working as an Uber driver…
neither_3,neither,they/them,Andrew,cat,food service,Andrew uses they/them pronouns.<br> Andrew works in food service and has a cat.,What pronouns does Andrew use?,What kind of pet does Andrew have?,What is Andrew's job?,After Andrew got home from working in food service…
neither_3,neither,they/them,Brian,dog,mechanic,Brian uses they/them pronouns.<br> Brian works as a mechanic and has a dog.,What pronouns does Brian use?,What kind of pet does Brian have?,What is Brian's job?,After Brian got home from working as a mechanic…
psa_1,psa,she/her,Amanda,cat,engineer,Amanda uses she/her pronouns.<br> Amanda works as an engineer and has a cat.,What pronouns does Amanda use?,What kind of pet does Amanda have?,What is Amanda's job?,After Amanda got home from working as an engineer…
psa_1,psa,she/her,Emily,dog,Uber driver,Emily uses she/her pronouns.<br> Emily works as an Uber driver and has a dog.,What pronouns does Emily use?,What kind of pet does Emily have?,What is Emily's job?,After Emily got home from working as an Uber driver…
psa_1,psa,she/her,Jessica,fish,food service,Jessica uses she/her pronouns.<br> Jessica works in food service and has a fish.,What pronouns does Jessica use?,What kind of pet does Jessica have?,What is Jessica's job?,After Jessica got home from working in food service…
psa_1,psa,she/her,Laura,cat,mechanic,Laura uses she/her pronouns.<br> Laura works as a mechanic and has a cat.,What pronouns does Laura use?,What kind of pet does Laura have?,What is Laura's job?,After Laura got home from working as a mechanic…
psa_1,psa,he/him,Andrew,dog,teacher,Andrew uses he/him pronouns.<br> Andrew works as a teacher and has a dog.,What pronouns does Andrew use?,What kind of pet does Andrew have?,What is Andrew's job?,After Andrew got home from working as a teacher…
psa_1,psa,he/him,Brian,fish,accountant,Brian uses he/him pronouns.<br> Brian works as an accountant and has a fish.,What pronouns does Brian use?,What kind of pet does Brian have?,What is Brian's job?,After Brian got home from working as an accountant…
psa_1,psa,he/him,Daniel,cat,retail,Daniel uses he/him pronouns.<br> Daniel works in retail and has a cat.,What pronouns does Daniel use?,What kind of pet does Daniel have?,What is Daniel's job?,After Daniel got home from working in retail…
psa_1,psa,he/him,James,dog,janitor,James uses he/him pronouns.<br> James works as a janitor and has a dog.,What pronouns does James use?,What kind of pet does James have?,What is James' job?,After James got home from working as a janitor…
psa_1,psa,they/them,Melissa,fish,IT,Melissa uses they/them pronouns.<br> Melissa works in IT and has a fish.,What pronouns does Melissa use?,What kind of pet does Melissa have?,What is Melissa's job?,After Melissa got home from working in IT…
psa_1,psa,they/them,Stephanie,cat,nurse,Stephanie uses they/them pronouns.<br> Stephanie works as a nurse and has a cat.,What pronouns does Stephanie use?,What kind of pet does Stephanie have?,What is Stephanie's job?,After Stephanie got home from working as a nurse…
psa_1,psa,they/them,Kevin,dog,doctor,Kevin uses they/them pronouns.<br> Kevin works as a doctor and has a dog.,What pronouns does Kevin use?,What kind of pet does Kevin have?,What is Kevin's job?,After Kevin got home from working as a doctor…
psa_1,psa,they/them,Michael,fish,salesperson,Michael uses they/them pronouns.<br> Michael works in sales and has a fish.,What pronouns does Michael use?,What kind of pet does Michael have?,What is Michael's job?,After Michael got home from working as a salesperson…
psa_2,psa,she/her,Amanda,dog,IT,Amanda uses she/her pronouns.<br> Amanda works in IT and has a dog.,What pronouns does Amanda use?,What kind of pet does Amanda have?,What is Amanda's job?,After Amanda got home from working in IT…
psa_2,psa,she/her,Emily,fish,nurse,Emily uses she/her pronouns.<br> Emily works as a nurse and has a fish.,What pronouns does Emily use?,What kind of pet does Emily have?,What is Emily's job?,After Emily got home from working as a nurse…
psa_2,psa,she/her,Melissa,cat,doctor,Melissa uses she/her pronouns.<br> Melissa works as a doctor and has a cat.,What pronouns does Melissa use?,What kind of pet does Melissa have?,What is Melissa's job?,After Melissa got home from working as a doctor…
psa_2,psa,she/her,Stephanie,dog,salesperson,Stephanie uses she/her pronouns.<br> Stephanie works in sales and has a dog.,What pronouns does Stephanie use?,What kind of pet does Stephanie have?,What is Stephanie's job?,After Stephanie got home from working as a salesperson…
psa_2,psa,he/him,Andrew,fish,engineer,Andrew uses he/him pronouns.<br> Andrew works as an engineer and has a fish.,What pronouns does Andrew use?,What kind of pet does Andrew have?,What is Andrew's job?,After Andrew got home from working as an engineer…
psa_2,psa,he/him,Brian,cat,Uber driver,Brian uses he/him pronouns.<br> Brian works as an Uber driver and has a cat.,What pronouns does Brian use?,What kind of pet does Brian have?,What is Brian's job?,After Brian got home from working as an Uber driver…
psa_2,psa,he/him,Kevin,dog,food service,Kevin uses he/him pronouns.<br> Kevin works in food service and has a dog.,What pronouns does Kevin use?,What kind of pet does Kevin have?,What is Kevin's job?,After Kevin got home from working in food service…
psa_2,psa,he/him,Michael,fish,mechanic,Michael uses he/him pronouns.<br> Michael works as a mechanic and has a fish.,What pronouns does Michael use?,What kind of pet does Michael have?,What is Michael's job?,After Michael got home from working as a mechanic…
psa_2,psa,they/them,Jessica,cat,teacher,Jessica uses they/them pronouns.<br> Jessica works as a teacher and has a cat.,What pronouns does Jessica use?,What kind of pet does Jessica have?,What is Jessica's job?,After Jessica got home from working as a teacher…
psa_2,psa,they/them,Laura,dog,accountant,Laura uses they/them pronouns.<br> Laura works as a accountant and has a dog.,What pronouns does Laura use?,What kind of pet does Laura have?,What is Laura's job?,After Laura got home from working as an accountant…
psa_2,psa,they/them,Daniel,fish,retail,Daniel uses they/them pronouns.<br> Daniel works in retail and has a fish.,What pronouns does Daniel use?,What kind of pet does Daniel have?,What is Daniel's job?,After Daniel got home from working in retail…
psa_2,psa,they/them,James,cat,janitor,James uses they/them pronouns.<br> James works as a janitor and has a cat.,What pronouns does James use?,What kind of pet does James have?,What is James' job?,After James got home from working as a janitor…
psa_3,psa,she/her,Jessica,fish,teacher,Jessica uses she/her pronouns.<br> Jessica works as a teacher and has a fish.,What pronouns does Jessica use?,What kind of pet does Jessica have?,What is Jessica's job?,After Jessica got home from working as a teacher…
psa_3,psa,she/her,Laura,cat,accountant,Laura uses she/her pronouns.<br> Laura works as an accountant and has a cat.,What pronouns does Laura use?,What kind of pet does Laura have?,What is Laura's job?,After Laura got home from working as an accountant…
psa_3,psa,she/her,Melissa,dog,retail,Melissa uses she/her pronouns.<br> Melissa works in retail and has a dog.,What pronouns does Melissa use?,What kind of pet does Melissa have?,What is Melissa's job?,After Melissa got home from working in retail…
psa_3,psa,she/her,Stephanie,fish,janitor,Stephanie uses she/her pronouns.<br> Stephanie works as a janitor and has a fish.,What pronouns does Stephanie use?,What kind of pet does Stephanie have?,What is Stephanie's job?,After Stephanie got home from working as a janitor…
psa_3,psa,he/him,Daniel,cat,IT,Daniel uses he/him pronouns.<br> Daniel works in IT and has a cat.,What pronouns does Daniel use?,What kind of pet does Daniel have?,What is Daniel's job?,After Daniel got home from working in  IT…
psa_3,psa,he/him,James,dog,nurse,James uses he/him pronouns.<br> James works as a nurse and has a dog.,What pronouns does James use?,What kind of pet does James have?,What is James' job?,After James got home from working as a nurse…
psa_3,psa,he/him,Kevin,fish,doctor,Kevin uses he/him pronouns.<br> Kevin works as a a doctor and has a fish.,What pronouns does Kevin use?,What kind of pet does Kevin have?,What is Kevin's job?,After Kevin got home from working as a doctor…
psa_3,psa,he/him,Michael,cat,salesperson,Michael uses he/him pronouns.<br> Michael works in sales and has a cat.,What pronouns does Michael use?,What kind of pet does Michael have?,What is Michael's job?,After Michael got home from working as a salesperson…
psa_3,psa,they/them,Amanda,dog,engineer,Amanda uses they/them pronouns.<br> Amanda works as an engineer and has a dog.,What pronouns does Amanda use?,What kind of pet does Amanda have?,What is Amanda's job?,After Amanda got home from working as an engineer…
psa_3,psa,they/them,Emily,fish,Uber driver,Emily uses they/them pronouns.<br> Emily works as an Uber driver and has a fish.,What pronouns does Emily use?,What kind of pet does Emily have?,What is Emily's job?,After Emily got home from working as an Uber driver…
psa_3,psa,they/them,Andrew,cat,food service,Andrew uses they/them pronouns.<br> Andrew works in food service and has a cat.,What pronouns does Andrew use?,What kind of pet does Andrew have?,What is Andrew's job?,After Andrew got home from working in food service…
psa_3,psa,they/them,Brian,dog,mechanic,Brian uses they/them pronouns.<br> Brian works as a mechanic and has a dog.,What pronouns does Brian use?,What kind of pet does Brian have?,What is Brian's job?,After Brian got home from working as a mechanic…
story_1,story,she/her,Amanda,cat,engineer,Amanda uses she/her pronouns.<br> Amanda works as an engineer and has a cat.,What pronouns does Amanda use?,What kind of pet does Amanda have?,What is Amanda's job?,After Amanda got home from working as an engineer…
story_1,story,she/her,Emily,dog,Uber driver,Emily uses she/her pronouns.<br> Emily works as an Uber driver and has a dog.,What pronouns does Emily use?,What kind of pet does Emily have?,What is Emily's job?,After Emily got home from working as an Uber driver…
story_1,story,she/her,Jessica,fish,food service,Jessica uses she/her pronouns.<br> Jessica works in food service and has a fish.,What pronouns does Jessica use?,What kind of pet does Jessica have?,What is Jessica's job?,After Jessica got home from working in food service…
story_1,story,she/her,Laura,cat,mechanic,Laura uses she/her pronouns.<br> Laura works as a mechanic and has a cat.,What pronouns does Laura use?,What kind of pet does Laura have?,What is Laura's job?,After Laura got home from working as a mechanic…
story_1,story,he/him,Andrew,dog,teacher,Andrew uses he/him pronouns.<br> Andrew works as a teacher and has a dog.,What pronouns does Andrew use?,What kind of pet does Andrew have?,What is Andrew's job?,After Andrew got home from working as a teacher…
story_1,story,he/him,Brian,fish,accountant,Brian uses he/him pronouns.<br> Brian works as an accountant and has a fish.,What pronouns does Brian use?,What kind of pet does Brian have?,What is Brian's job?,After Brian got home from working as an accountant…
story_1,story,he/him,Daniel,cat,retail,Daniel uses he/him pronouns.<br> Daniel works in retail and has a cat.,What pronouns does Daniel use?,What kind of pet does Daniel have?,What is Daniel's job?,After Daniel got home from working in retail…
story_1,story,he/him,James,dog,janitor,James uses he/him pronouns.<br> James works as a janitor and has a dog.,What pronouns does James use?,What kind of pet does James have?,What is James' job?,After James got home from working as a janitor…
story_1,story,they/them,Melissa,fish,IT,Melissa uses they/them pronouns.<br> Melissa works in IT and has a fish.,What pronouns does Melissa use?,What kind of pet does Melissa have?,What is Melissa's job?,After Melissa got home from working in IT…
story_1,story,they/them,Stephanie,cat,nurse,Stephanie uses they/them pronouns.<br> Stephanie works as a nurse and has a cat.,What pronouns does Stephanie use?,What kind of pet does Stephanie have?,What is Stephanie's job?,After Stephanie got home from working as a nurse…
story_1,story,they/them,Kevin,dog,doctor,Kevin uses they/them pronouns.<br> Kevin works as a doctor and has a dog.,What pronouns does Kevin use?,What kind of pet does Kevin have?,What is Kevin's job?,After Kevin got home from working as a doctor…
story_1,story,they/them,Michael,fish,salesperson,Michael uses they/them pronouns.<br> Michael works in sales and has a fish.,What pronouns does Michael use?,What kind of pet does Michael have?,What is Michael's job?,After Michael got home from working as a salesperson…
story_2,story,she/her,Amanda,dog,IT,Amanda uses she/her pronouns.<br> Amanda works in IT and has a dog.,What pronouns does Amanda use?,What kind of pet does Amanda have?,What is Amanda's job?,After Amanda got home from working in IT…
story_2,story,she/her,Emily,fish,nurse,Emily uses she/her pronouns.<br> Emily works as a nurse and has a fish.,What pronouns does Emily use?,What kind of pet does Emily have?,What is Emily's job?,After Emily got home from working as a nurse…
story_2,story,she/her,Melissa,cat,doctor,Melissa uses she/her pronouns.<br> Melissa works as a doctor and has a cat.,What pronouns does Melissa use?,What kind of pet does Melissa have?,What is Melissa's job?,After Melissa got home from working as a doctor…
story_2,story,she/her,Stephanie,dog,salesperson,Stephanie uses she/her pronouns.<br> Stephanie works in sales and has a dog.,What pronouns does Stephanie use?,What kind of pet does Stephanie have?,What is Stephanie's job?,After Stephanie got home from working as a salesperson…
story_2,story,he/him,Andrew,fish,engineer,Andrew uses he/him pronouns.<br> Andrew works as an engineer and has a fish.,What pronouns does Andrew use?,What kind of pet does Andrew have?,What is Andrew's job?,After Andrew got home from working as an engineer…
story_2,story,he/him,Brian,cat,Uber driver,Brian uses he/him pronouns.<br> Brian works as an Uber driver and has a cat.,What pronouns does Brian use?,What kind of pet does Brian have?,What is Brian's job?,After Brian got home from working as an Uber driver…
story_2,story,he/him,Kevin,dog,food service,Kevin uses he/him pronouns.<br> Kevin works in food service and has a dog.,What pronouns does Kevin use?,What kind of pet does Kevin have?,What is Kevin's job?,After Kevin got home from working in food service…
story_2,story,he/him,Michael,fish,mechanic,Michael uses he/him pronouns.<br> Michael works as a mechanic and has a fish.,What pronouns does Michael use?,What kind of pet does Michael have?,What is Michael's job?,After Michael got home from working as a mechanic…
story_2,story,they/them,Jessica,cat,teacher,Jessica uses they/them pronouns.<br> Jessica works as a teacher and has a cat.,What pronouns does Jessica use?,What kind of pet does Jessica have?,What is Jessica's job?,After Jessica got home from working as a teacher…
story_2,story,they/them,Laura,dog,accountant,Laura uses they/them pronouns.<br> Laura works as a accountant and has a dog.,What pronouns does Laura use?,What kind of pet does Laura have?,What is Laura's job?,After Laura got home from working as an accountant…
